stock_id,product_id,variant_id,location_id,quantity_on_hand,quantity_reserved,reorder_point,reorder_quantity,last_restock_date,last_updated
33f29dc8-ae6e-4751-9048-4501d6981a25,77a744db-f2c9-465c-84a4-733b21b8da24,,87b613ef-230b-47a7-b8cb-28aa5a99d029,18,4,10,50,2025-11-26,2025-12-15 20:44:59
6bf50a38-e6bd-4f34-a006-f45337cf1e7b,77a744db-f2c9-465c-84a4-733b21b8da24,,775f6785-8da6-402b-a8c0-6189572ed8e7,0,0,10,50,2025-12-10,2025-12-19 00:24:59
4e643c41-243d-44ab-b429-f8d756962d3e,77a744db-f2c9-465c-84a4-733b21b8da24,,21e1cdc0-716b-4735-ba8c-5f7bdd7e3cf8,13,2,10,50,2025-11-29,2025-12-18 22:16:59
9e174ea6-d1be-460d-ab8e-99882394f7ac,77a744db-f2c9-465c-84a4-733b21b8da24,,7ce89085-23eb-4667-a8c2-ae88db38ac74,88,7,10,50,2025-12-16,2025-12-12 04:34:59
c4986688-7181-4fad-a8fd-2e2215b4f60e,77a744db-f2c9-465c-84a4-733b21b8da24,,9c14f868-16d5-4ebf-8750-fd6093aa9e0f,45,7,10,50,2025-11-08,2025-12-18 01:53:59
5ace538a-d573-4cc3-b66d-88cd459c304e,77a744db-f2c9-465c-84a4-733b21b8da24,,40ee3e93-9d8a-4223-971f-f4048795e974,5,5,10,50,2025-10-20,2025-12-18 07:12:59
54d63731-55a8-4ee3-b3e7-27df7b555661,77a744db-f2c9-465c-84a4-733b21b8da24,,870cb85d-8c5b-4aee-b4e8-5484dc0b2b71,95,6,10,50,2025-11-06,2025-12-17 13:24:59
cfd3a070-363b-4ad9-8f8f-e4b25130b60a,77a744db-f2c9-465c-84a4-733b21b8da24,,c05e0443-65fd-427c-b30e-3ac52bf80251,20,3,10,50,2025-11-26,2025-12-16 23:32:59
a6909c08-103f-4777-9351-b54377050fe1,77a744db-f2c9-465c-84a4-733b21b8da24,,6702fe7c-e2e5-4d82-96e9-53ff0b9e2ad8,97,8,10,50,2025-10-26,2025-12-14 20:14:59
d0e40a03-dd0a-4079-bf14-96191b74cf72,77a744db-f2c9-465c-84a4-733b21b8da24,,99b789c4-6c09-4c6a-b0ce-c5f02a4c2e08,63,4,10,50,2025-10-23,2025-12-15 15:01:59
83a2af1a-3f29-4912-9cb6-5bd6bf612a73,77a744db-f2c9-465c-84a4-733b21b8da24,,286eeebb-0b7f-4d80-9681-e8c93779c598,42,8,10,50,2025-10-27,2025-12-17 08:37:59
c304c7d7-5842-4912-b2dc-5ae45e0ed81a,77a744db-f2c9-465c-84a4-733b21b8da24,,8be7b06e-0a5a-46e3-969d-a09fabb598fe,94,1,10,50,2025-12-01,2025-12-15 05:07:00
a4798aef-03d4-42d1-833b-d163ca23a5f8,77a744db-f2c9-465c-84a4-733b21b8da24,,2b8b4eed-4edf-439c-9c77-448ef4937d1e,40,3,10,50,2025-12-10,2025-12-17 01:50:00
1f96b270-306e-44a0-992c-ac8ea731c6fb,77a744db-f2c9-465c-84a4-733b21b8da24,,e61800f3-c8a1-43fe-afbf-6d31a87fb9ad,62,6,10,50,2025-11-29,2025-12-13 14:07:00
58b2e544-20b4-468d-bff0-8429c79d4139,77a744db-f2c9-465c-84a4-733b21b8da24,,4af11e70-d6b3-43d8-b48c-41f60e8a835c,35,8,10,50,2025-12-02,2025-12-18 19:04:00
2d54caa2-9085-428f-8992-bdc98fee9621,77a744db-f2c9-465c-84a4-733b21b8da24,,91458e9c-16ac-4e41-94d4-9d3b0b880692,41,3,10,50,2025-11-23,2025-12-15 16:01:00
a6b89671-3ac3-4189-92dd-4c4dd2066c93,77a744db-f2c9-465c-84a4-733b21b8da24,,435b0a2e-fa85-4471-8cfc-e24b87422688,24,4,10,50,2025-12-10,2025-12-14 04:56:00
f5edc5c3-850a-4205-a9e2-c80607dcfb4a,77a744db-f2c9-465c-84a4-733b21b8da24,,7bb52bcc-6af2-41be-a4d1-4e4269141113,65,4,10,50,2025-12-01,2025-12-19 05:26:00
4a9313a5-19d5-489e-a3ac-cc2d62c91e8f,77a744db-f2c9-465c-84a4-733b21b8da24,,f1af3aac-272c-4870-84c0-ef67fb58b918,77,10,10,50,2025-10-30,2025-12-15 21:31:00
20f48f7f-e89b-4969-8ec0-32213f3ce392,77a744db-f2c9-465c-84a4-733b21b8da24,,c88b94a2-877c-46a8-b190-d3100918de15,38,3,10,50,2025-10-27,2025-12-17 22:39:00
dce4aeec-03e6-443f-be46-38cbb5369fe4,77a744db-f2c9-465c-84a4-733b21b8da24,,3eb94dcb-1a9a-4677-b324-bb7fe91124f5,37,0,10,50,2025-12-04,2025-12-19 00:26:00
0e440cdf-6850-4f71-b597-d87d57623516,77a744db-f2c9-465c-84a4-733b21b8da24,,0b2ab58f-e495-41d6-bb22-6e9ba02e0079,43,5,10,50,2025-11-05,2025-12-13 06:04:00
b9ad13c2-3e6b-497d-9009-d0006c763d50,77a744db-f2c9-465c-84a4-733b21b8da24,,dfd0b183-9ed0-46bf-bd8e-383e48bd07a4,73,1,10,50,2025-11-25,2025-12-15 21:08:00
a7283b97-9b62-4866-bbfb-62c87de9e64e,77a744db-f2c9-465c-84a4-733b21b8da24,,177e56a5-67fa-4dd2-b6a9-a1cc8c5aae02,59,3,10,50,2025-12-06,2025-12-15 08:07:00
e8bef532-4574-4ef1-94ec-6198294a3949,77a744db-f2c9-465c-84a4-733b21b8da24,,1adf53d4-c343-458f-ac0a-81839b35e9a6,69,7,10,50,2025-11-03,2025-12-17 02:29:00
adf9ae85-3cdc-42af-bd7a-8dd4e4acd4ea,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,87b613ef-230b-47a7-b8cb-28aa5a99d029,43,2,10,50,2025-11-25,2025-12-16 08:10:00
31149157-88eb-4bfb-b6d8-df1622cc6a0b,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,775f6785-8da6-402b-a8c0-6189572ed8e7,16,10,10,50,2025-12-16,2025-12-13 10:45:00
2f7a8dba-e029-4f3c-adb7-430585f0eb1f,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,21e1cdc0-716b-4735-ba8c-5f7bdd7e3cf8,14,2,10,50,2025-10-25,2025-12-19 03:06:00
63daf56a-efb5-411a-a70e-175e0ae703ba,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,7ce89085-23eb-4667-a8c2-ae88db38ac74,99,2,10,50,2025-11-23,2025-12-19 02:12:00
b0f19986-84e2-4bb4-a8ab-fcd8488d4b5f,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,9c14f868-16d5-4ebf-8750-fd6093aa9e0f,91,5,10,50,2025-11-21,2025-12-13 16:58:00
b5165078-5079-4e83-ba9d-bcf65e7d4c4c,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,40ee3e93-9d8a-4223-971f-f4048795e974,23,6,10,50,2025-11-21,2025-12-17 05:29:00
ccdf59b7-ec00-4750-8fef-6c5a91143090,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,870cb85d-8c5b-4aee-b4e8-5484dc0b2b71,28,2,10,50,2025-11-16,2025-12-16 04:42:00
613fff78-e8a9-4553-a19e-e87240454acf,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,c05e0443-65fd-427c-b30e-3ac52bf80251,79,2,10,50,2025-11-18,2025-12-13 19:36:00
78de04c4-2c43-4d99-8386-7160088fe735,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,6702fe7c-e2e5-4d82-96e9-53ff0b9e2ad8,74,6,10,50,2025-12-12,2025-12-13 23:19:00
95711500-8569-49e4-a42d-5a8d87836767,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,99b789c4-6c09-4c6a-b0ce-c5f02a4c2e08,23,5,10,50,2025-12-18,2025-12-19 04:12:00
91651415-c7ab-458a-ac5b-6350aea8b0b1,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,286eeebb-0b7f-4d80-9681-e8c93779c598,92,8,10,50,2025-11-27,2025-12-15 21:41:00
2f8e5183-2124-4ba8-acdc-67ac3f2c3bfd,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,8be7b06e-0a5a-46e3-969d-a09fabb598fe,24,8,10,50,2025-11-07,2025-12-13 22:04:00
13356a1d-54c4-4c1b-be21-cd738a833213,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,2b8b4eed-4edf-439c-9c77-448ef4937d1e,4,2,10,50,2025-12-14,2025-12-17 21:08:00
8b8dcb78-aa74-43fc-9810-7c8dab3dd12a,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,e61800f3-c8a1-43fe-afbf-6d31a87fb9ad,79,5,10,50,2025-10-26,2025-12-15 22:20:00
61d54e15-80ba-4dd5-94a0-d913293a32e1,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,4af11e70-d6b3-43d8-b48c-41f60e8a835c,51,6,10,50,2025-11-17,2025-12-15 18:48:00
c3566c9c-51d7-4283-ac2c-f39ff924ff40,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,91458e9c-16ac-4e41-94d4-9d3b0b880692,15,1,10,50,2025-12-03,2025-12-15 17:13:00
497333e2-c05e-41fe-9a76-4dc35f5c6c57,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,435b0a2e-fa85-4471-8cfc-e24b87422688,77,9,10,50,2025-10-24,2025-12-19 01:51:00
cf078dd8-4bf2-4536-9bd7-49402c6300c7,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,7bb52bcc-6af2-41be-a4d1-4e4269141113,96,1,10,50,2025-11-15,2025-12-12 13:49:00
78d93e48-086c-41ec-9736-f956d40f3755,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,f1af3aac-272c-4870-84c0-ef67fb58b918,100,9,10,50,2025-11-07,2025-12-18 11:47:00
c0022832-986a-47df-a523-409de5f00a93,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,c88b94a2-877c-46a8-b190-d3100918de15,67,10,10,50,2025-11-14,2025-12-18 13:47:00
3d508162-c650-4dd9-a95c-3cec91765d14,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,3eb94dcb-1a9a-4677-b324-bb7fe91124f5,85,2,10,50,2025-12-17,2025-12-16 19:14:00
d735ba60-47a5-461f-acae-250b70bf3f09,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,0b2ab58f-e495-41d6-bb22-6e9ba02e0079,8,5,10,50,2025-11-12,2025-12-14 08:29:00
08a40dea-5b04-4147-b02d-bd25d5467458,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,dfd0b183-9ed0-46bf-bd8e-383e48bd07a4,91,5,10,50,2025-12-06,2025-12-18 23:32:00
e4e5cbae-071d-463a-8dd4-e001ace41384,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,177e56a5-67fa-4dd2-b6a9-a1cc8c5aae02,78,2,10,50,2025-11-30,2025-12-16 13:51:00
19f82a02-c417-4397-bcc9-1b928c42d904,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,1adf53d4-c343-458f-ac0a-81839b35e9a6,66,1,10,50,2025-11-24,2025-12-19 01:50:00
e7a3f374-895e-4c73-885e-72f7a80f19f6,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,87b613ef-230b-47a7-b8cb-28aa5a99d029,98,8,10,50,2025-11-18,2025-12-17 12:13:00
99421569-35b8-4be1-ad1b-56a6273fc973,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,775f6785-8da6-402b-a8c0-6189572ed8e7,76,1,10,50,2025-12-05,2025-12-14 21:50:00
a9563ae7-f15d-4493-82b9-c3df819e09bc,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,21e1cdc0-716b-4735-ba8c-5f7bdd7e3cf8,77,0,10,50,2025-11-04,2025-12-14 21:19:00
855b8702-5aca-4f9f-91fb-f9f3fd55c295,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,7ce89085-23eb-4667-a8c2-ae88db38ac74,7,0,10,50,2025-12-19,2025-12-16 12:49:00
d1e29ae1-6159-4542-a75c-9ea14d842230,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,9c14f868-16d5-4ebf-8750-fd6093aa9e0f,32,5,10,50,2025-11-06,2025-12-16 08:59:00
d0528a80-96ce-4c07-a325-396a176e52c6,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,40ee3e93-9d8a-4223-971f-f4048795e974,7,2,10,50,2025-11-29,2025-12-14 02:14:00
1739b7bc-61dd-454b-aea9-983c73810f1d,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,870cb85d-8c5b-4aee-b4e8-5484dc0b2b71,19,3,10,50,2025-11-26,2025-12-12 23:56:00
4a008928-4b3a-44b9-8414-6b91cc5e99ad,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,c05e0443-65fd-427c-b30e-3ac52bf80251,3,3,10,50,2025-12-07,2025-12-16 01:20:00
d1b1efad-377d-4253-841e-7adcd4f09d10,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,6702fe7c-e2e5-4d82-96e9-53ff0b9e2ad8,95,4,10,50,2025-11-04,2025-12-12 12:30:00
124bdafb-0004-4461-a5e3-f99a067ead4a,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,99b789c4-6c09-4c6a-b0ce-c5f02a4c2e08,83,10,10,50,2025-10-31,2025-12-13 07:29:00
9f395b66-ebc7-42ac-b44c-ed43ed6a759f,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,286eeebb-0b7f-4d80-9681-e8c93779c598,30,9,10,50,2025-12-02,2025-12-12 12:55:00
c03ef65a-b093-4bf9-ab79-0450415089ac,faf4d30d-559e-41ec-b67a-e5cd32069fbc,,8be7b06e-0a5a-46e3-969d-a09fabb598fe,31,7,10,50,2025-12-07,2025-12-16 03:27:00
