review_id,product_id,customer_id,platform,rating,title,review_text,review_url,helpful_votes,not_helpful_votes,verified_purchase,reviewer_skin_tone,reviewer_skin_type,reviewer_undertone,reviewer_age_range,is_approved,moderation_status,created_at,updated_at
509ee750-3515-40f7-83fb-57750982e888,77a744db-f2c9-465c-84a4-733b21b8da24,84755230-204e-4e26-bab8-135fb3920382,app,4,The texture is incredible. Goes on so smoothly.,The texture is incredible. Goes on so smoothly.,https://agentcommerce.com/reviews/2a3fddfa,32,2,False,Medium,Dry,Cool,45-54,True,approved,2025-09-09 11:29:49,
2931c969-b2e4-4723-bb21-5c2a2652bf41,77a744db-f2c9-465c-84a4-733b21b8da24,996ae350-a0c9-4956-8e45-250d6d5c00b9,website,5,This is my new holy grail product. Can't live with...,This is my new holy grail product. Can't live without it.,https://agentcommerce.com/reviews/1d5bf796,13,2,True,Fair,Dry,Warm,18-24,True,approved,2025-11-22 20:12:49,
c811516a-b5e7-4428-8de9-20bd21a7c705,77a744db-f2c9-465c-84a4-733b21b8da24,9bc8efe0-8683-4b23-8657-e130f0731c0c,bazaarvoice,1,Quality could be better for the price.,Quality could be better for the price.,https://agentcommerce.com/reviews/5992804c,46,1,True,Fair,Oily,Neutral,35-44,True,approved,2025-10-08 21:33:49,
3f506474-981d-4a2a-8ab2-d0e15456b2c5,77a744db-f2c9-465c-84a4-733b21b8da24,9caa4473-2992-4c04-8b0e-0325637070f1,app,5,Perfect color match for my skin tone. So happy!,Perfect color match for my skin tone. So happy!,https://agentcommerce.com/reviews/dc3d341d,39,3,True,Tan,Sensitive,Warm,35-44,True,approved,2025-10-09 01:12:49,
932d58f7-1155-4235-a84c-bb33be26092a,77a744db-f2c9-465c-84a4-733b21b8da24,,app,5,Amazing quality for the price. Highly recommend!,Amazing quality for the price. Highly recommend!,https://agentcommerce.com/reviews/52ec29c0,2,9,False,Tan,Dry,Cool,45-54,True,approved,2025-11-21 14:47:49,
ca75cda5-abf0-4e53-bbef-dc9fd1574ceb,77a744db-f2c9-465c-84a4-733b21b8da24,72a3fe4d-9bae-4064-b014-9dc55d835d38,app,4,Best purchase I've made in a while. Worth every pe...,Best purchase I've made in a while. Worth every penny.,https://agentcommerce.com/reviews/1bd7cf8a,27,2,True,Deep,Sensitive,Warm,45-54,True,approved,2025-08-12 20:18:49,
671eb568-d7f2-4057-a6b4-3dd448b84e4e,77a744db-f2c9-465c-84a4-733b21b8da24,594df24a-f6ee-4a63-920e-20bbc94ccca6,app,5,Amazing quality for the price. Highly recommend!,Amazing quality for the price. Highly recommend!,https://agentcommerce.com/reviews/bf4dfc7e,22,8,False,Medium,Oily,Neutral,35-44,True,approved,2025-06-28 17:26:49,
7f0a5513-3b8c-402a-bf22-d6c162b8934a,77a744db-f2c9-465c-84a4-733b21b8da24,05b81dae-7fcf-406b-9dc7-96798a1d41c2,app,5,The texture is incredible. Goes on so smoothly.,The texture is incredible. Goes on so smoothly.,https://agentcommerce.com/reviews/ac6af6b0,41,9,True,Deep,Dry,Neutral,35-44,True,approved,2025-08-28 14:27:49,
a2472d6c-dc0e-4894-a510-586bdc7053c3,77a744db-f2c9-465c-84a4-733b21b8da24,510a767f-12ed-4710-98d4-34392de35fe3,bazaarvoice,4,Best purchase I've made in a while. Worth every pe...,Best purchase I've made in a while. Worth every penny.,https://agentcommerce.com/reviews/9970d58d,1,9,False,Light,Dry,Cool,18-24,True,approved,2025-09-27 02:39:49,
6cce1e53-bcf8-45e6-81b9-4d5b33ba89fc,77a744db-f2c9-465c-84a4-733b21b8da24,b22f2bb3-38bb-4fa7-8850-432af5f4a3dd,bazaarvoice,3,Good quality but a bit pricey.,Good quality but a bit pricey.,https://agentcommerce.com/reviews/6d3e2b74,5,2,True,Tan,Normal,Neutral,35-44,True,approved,2025-10-21 12:18:49,
